Date,Symbol,Price,Available Supply,Unlocked Supply,Founder / Team,Private Investors,Public Investors,Reserved,Community & Other
May 16 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 16 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 16 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 16 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 15 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 15 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 15 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 15 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 15 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 14 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 14 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 14 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 14 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 13 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 13 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 13 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 13 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 13 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 12 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 12 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 12 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 12 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 11 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 11 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 11 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 11 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 11 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 10 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 10 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 10 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 10 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 09 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 09 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 09 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 09 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 09 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 08 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 08 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 08 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 08 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 07 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 07 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 07 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 07 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 07 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 06 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 06 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 06 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 06 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 05 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 05 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 05 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 05 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 05 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 04 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 04 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 04 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 04 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 03 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 03 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 03 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 03 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 03 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 02 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 02 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 02 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 02 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 01 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 01 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 01 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 01 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
May 01 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 30 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 30 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 30 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 30 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 29 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 29 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 29 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 29 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 29 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 28 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 28 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 28 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 28 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 27 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 27 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 27 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 27 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 27 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 26 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 26 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 26 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 26 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 25 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 25 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 25 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 25 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 25 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 24 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 24 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 24 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 24 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 24 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 23 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 23 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 23 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 23 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 22 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 22 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 22 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 22 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 22 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 21 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 21 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 21 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 21 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 20 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 20 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 20 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 20 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 20 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 19 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 19 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 19 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 19 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 18 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 18 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 18 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 18 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 18 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 17 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 17 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 17 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 17 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 16 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 16 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 16 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 16 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 16 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 15 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 15 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 15 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 15 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 14 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 14 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 14 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 14 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 14 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 13 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 13 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 13 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 13 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 12 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 12 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 12 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 12 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 12 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 11 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 11 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 11 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 11 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 10 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 10 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
Apr 10 2024,SUPER,0,1000000000.00,1000000000.00,100000000.00,390000000.00,10000000.00,190000000.00,310000000.00
